Item Identifier,Media Url
161,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/13/00000010.jpg
149,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/12/00000009.jpg
74,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000020.jpg
74,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000021.jpg
74,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000022.jpg
74,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000023.jpg
74,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000024.jpg
74,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000025.jpg
74,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000026.jpg
74,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000027.jpg
74,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000028.jpg
74,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000029.jpg
60,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/6/00000011.jpg
203,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000015.jpg
203,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000016.jpg
217,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/17/00000008.jpg
216,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/17/00000007.jpg
202,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000013.jpg
202,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000014.jpg
61,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/6/00000012.jpg
75,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000030.jpg
75,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000031.jpg
75,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000032.jpg
75,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000033.jpg
75,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000034.jpg
49,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/5/00000011.jpg
49,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/5/00000012.jpg
49,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/5/00000013.jpg
49,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/5/00000014.jpg
148,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/12/00000007.jpg
148,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/12/00000008.jpg
160,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/13/00000008.jpg
174,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/14/00000014.jpg
158,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/13/00000003.jpg
158,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/13/00000004.jpg
170,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/14/00000004.jpg
170,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/14/00000005.jpg
170,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/14/00000011.jpg
164,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/13/00000016.jpg
164,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/13/00000017.jpg
164,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/13/00000018.jpg
71,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000003.jpg
71,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000004.jpg
71,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000005.jpg
71,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000006.jpg
71,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000007.jpg
71,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000008.jpg
65,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/6/00000016.jpg
